Priority Mail - Retail,,Final,12/9/2020
,
Flat Rate Envelopes,7.95,,,,,,
Legal Flat Rate Envelope,8.25,,,,,,
Padded Flat Rate Envelope,8.55,,,,,,,
Small Flat Rate Box,8.45,,,,,,,
Medium Flat Rate Boxes,15.50,,,,,,
Large Flat Rate Boxes,21.90,,,,,,
APO/FPO/DPO Large Flat Rate Box,20.40,,,,,,
,,,,,,,
"Letters, Large Envelopes, Parcels",,,,,,,
Weight Not Over (Lbs),Zones,,,,,,,
,"L, 1 & 2",Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,,,,,,,,
43,35.70,45.25,56.40,78.05,94.45,109.95,128.75,230.15,,,,,,,,
44,35.90,46.00,57.15,79.60,95.95,111.20,130.30,232.95,,,,,,,,
45,36.15,46.50,57.50,81.45,97.00,112.45,131.95,235.85,,,,,,,,
46,36.40,46.80,58.15,82.90,98.05,113.65,133.50,238.70,,,,,,,,
47,36.75,47.25,58.70,84.80,99.15,114.90,135.00,241.25,,,,,,,,
48,37.10,47.65,59.25,86.45,100.45,116.00,136.45,243.90,,,,,,,,
49,37.30,47.95,59.70,88.05,101.75,117.25,137.85,246.35,,,,,,,,
50,37.45,48.25,60.15,89.75,103.10,118.75,139.20,248.90,,,,,,,,
51,37.60,48.75,60.70,91.30,104.55,120.50,140.50,253.15,,,,,,,,
52,38.10,49.05,61.10,92.00,105.65,122.25,142.15,256.30,,,,,,,,
53,38.75,49.35,61.45,92.75,106.55,124.20,144.05,259.60,,,,,,,,
54,39.20,49.55,61.90,93.50,107.30,126.10,146.05,263.20,,,,,,,,
55,39.90,49.90,62.25,94.20,108.10,128.05,148.00,266.70,,,,,,,,
56,40.45,50.25,62.60,94.80,108.90,129.85,149.40,269.20,,,,,,,,
57,41.05,50.40,62.95,95.35,109.65,131.85,150.50,271.15,,,,,,,,
58,41.70,50.65,63.40,96.00,110.30,133.65,151.65,273.15,,,,,,,,
59,42.35,50.85,63.70,96.60,110.95,134.45,152.85,275.35,,,,,,,,
60,42.90,51.05,64.30,97.05,111.50,135.20,153.80,277.15,,,,,,,,
61,43.55,51.35,65.45,97.55,112.15,136.00,155.90,281.00,,,,,,,,
62,44.00,51.45,66.25,98.10,112.70,136.65,158.45,285.40,,,,,,,,
63,44.85,51.70,67.40,98.50,113.30,137.25,160.95,290.05,,,,,,,,
64,45.30,53.30,68.35,98.95,113.75,137.95,163.35,294.40,,,,,,,,
65,45.90,53.45,69.25,99.35,114.20,138.55,166.00,299.10,,,,,,,,
66,46.50,53.65,70.40,99.80,114.70,139.05,168.30,303.35,,,,,,,,
67,47.25,53.75,71.60,100.10,115.00,139.60,170.55,307.30,,,,,,,,
68,47.80,53.85,72.45,100.35,116.50,140.15,172.40,310.65,,,,,,,,
69,48.40,53.90,73.35,100.65,117.90,140.50,174.25,313.90,,,,,,,,
70,49.00,54.10,74.55,101.00,119.40,141.00,176.15,317.25,,,,,,,,
"Parcels exceeding one cubic foot are charged on the actual weight or the dimensional weight, whichever is greater. ",,,,,,,,
